energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri,name
0.153,0.0946,90.493,0.0399,0.932,2.59e-06,4,0.566,1,212667,-14.133,0.399,1,spotify:track:3ceEHZ1xOcRcO7bqB2PnKK,Somewhere in Ann Arbor
0.64,0.125,179.819,0.175,0.0604,5.52e-06,4,0.627,8,219995,-7.312,0.831,1,spotify:track:3sBdf3nxnEC9e2GcdP9d3j,Ordinaryish People (feat. Blue Man Group)
0.675,0.141,124.939,0.0434,0.00473,0.0,4,0.731,5,139461,-5.134,0.298,0,spotify:track:7kDUspsoYfLkWnZR7qwHZl,my ex's best friend (with blackbear)
0.274,0.13,94.964,0.0305,0.922,0.0825,4,0.57,7,174362,-13.706,0.278,1,spotify:track:5aWBDD1I09Wpm0BAvhQ9TT,Favorite Place to Go
0.211,0.131,72.5,0.0424,0.853,0.0,4,0.708,9,152280,-9.603,0.362,0,spotify:track:3V0nnQhqvbE3JmiDdnzQFQ,July (feat. Leon Bridges)
0.446,0.105,170.191,0.0349,0.5,0.00152,4,0.498,0,175007,-8.764,0.253,1,spotify:track:0X2LLGmTWlnd5U30minCi0,Amazon Prime
0.582,0.093,139.997,0.146,0.132,0.0,4,0.796,7,188679,-3.319,0.915,1,spotify:track:0sSoNYwZLoE4gLAKIG4uYL,Alaska
0.669,0.319,83.855,0.0309,0.557,0.000416,4,0.366,8,225714,-8.223,0.253,1,spotify:track:13hfUmautReVD3TG5Qx5Zz,Towns
0.515,0.385,113.892,0.291,0.149,0.0,4,0.762,2,186740,-6.91,0.306,1,spotify:track:2M85nUhefR3JP7k5EXhlqE,Petrified
0.625,0.135,140.884,0.0406,0.308,1.91e-05,4,0.758,2,211320,-6.602,0.452,1,spotify:track:3TBKXtDKPVlL9dN6Am297J,Feather
0.672,0.116,93.965,0.0341,0.151,0.0,4,0.684,10,155674,-5.762,0.381,0,spotify:track:4ih3Y0t86lfK8m8pTgEx4I,BETTER OFF DEAD
0.752,0.104,153.971,0.0458,0.278,0.0226,4,0.63,0,283747,-7.218,0.201,1,spotify:track:3l14MJpQB4tFFgKLqUqtV3,The District Sleeps Alone Tonight - Remastered
0.444,0.113,162.279,0.0417,0.0578,0.0352,4,0.329,1,282206,-9.973,0.225,1,spotify:track:1170VohRSx6GwE6QDCHPPH,Kilby Girl
0.614,0.0898,205.379,0.0466,0.0589,0.0,4,0.312,8,199848,-6.073,0.356,1,spotify:track:0TqaX16qLpX7YqFcAl9lDy,superstars
0.38,0.0799,88.974,0.0308,0.81,0.23,4,0.143,9,336256,-10.386,0.0548,1,spotify:track:1E5dOcc7xx5rjR7gh5h2fo,Palace
